music query,noise type,noise intensity,result,NCD,expected
Avicii - Wake Me Up (Official Video)_segment9_pink_intensity_0.35.freqs,segment9_pink,0.35,Avicii - Wake Me Up (Official Video).freqs,1.00154,true
Travis Scott - NO BYSTANDERS (Audio)_segment3_brown_intensity_0.35.freqs,segment3_brown,0.35,Travis Scott - NO BYSTANDERS (Audio).freqs,0.991201,true
Travis Scott - NO BYSTANDERS (Audio)_segment9_white_intensity_0.15.freqs,segment9_white,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99028,true
Post Malone - White Iverson_segment7_pink_intensity_0.2.freqs,segment7_pink,0.2,Post Malone - White Iverson.freqs,0.992005,true
Avicii - Wake Me Up (Official Video)_segment2_pink_intensity_0.35.freqs,segment2_pink,0.35,4th Dimension.freqs,1.001,false
Avicii - Wake Me Up (Official Video)_segment8_brown_intensity_0.5.freqs,segment8_brown,0.5,Post Malone - White Iverson.freqs,1.00004,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_brown_intensity_0.45.freqs,segment7_brown,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99821,true
Post Malone - White Iverson_segment8_white_intensity_0.05.freqs,segment8_white,0.05,Post Malone - White Iverson.freqs,0.990458,true
Travis Scott - NO BYSTANDERS (Audio)_segment5_pink_intensity_0.4.freqs,segment5_pink,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.992071,true
Avicii - Wake Me Up (Official Video)_segment9_pink_intensity_0.1.freqs,segment9_pink,0.1,Avicii - Wake Me Up (Official Video).freqs,0.99772,true
Travis Scott - NO BYSTANDERS (Audio)_segment8_white_intensity_0.15.freqs,segment8_white,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.989411,true
Avicii - Wake Me Up (Official Video)_segment5_white_intensity_0.25.freqs,segment5_white,0.25,Avicii - Wake Me Up (Official Video).freqs,0.996243,true
Post Malone - White Iverson_segment4_white_intensity_0.05.freqs,segment4_white,0.05,Post Malone - White Iverson.freqs,0.990568,true
Travis Scott - NO BYSTANDERS (Audio)_segment4_white_intensity_0.2.freqs,segment4_white,0.2,Travis Scott - NO BYSTANDERS (Audio).freqs,0.988183,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_brown_intensity_0.25.freqs,segment10_brown,0.25,Sabrina Carpenter - Espresso (Official Video).freqs,1.00135,false
Travis Scott - NO BYSTANDERS (Audio)_segment8_brown_intensity_0.45.freqs,segment8_brown,0.45,4th Dimension.freqs,0.997256,false
Post Malone - White Iverson_segment6_white_intensity_0.3.freqs,segment6_white,0.3,Post Malone - White Iverson.freqs,0.992373,true
Avicii - Wake Me Up (Official Video)_segment1_brown_intensity_0.25.freqs,segment1_brown,0.25,Post Malone - White Iverson.freqs,1.00181,false
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.35.freqs,segment9_white,0.35,Avicii - Wake Me Up (Official Video).freqs,0.998459,true
